Wed Apr 21 19:40:25 2021				
				
				
Number of Points = 2987				
				
Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
1.048918	0.095357	0	-0.000021	1.008653
0.690587	0.093553	0.005005	0.000058	1.008476
0.912481	0.024219	0.01001	0.000009	1.008491
0.752896	0.068294	0.015014	0.000044	1.008473
0.669102	0.111333	0.020019	0.000062	1.008491
0.848324	0.025378	0.025024	0.000023	1.008462
0.869559	0.027684	0.030029	0.000018	1.008475
0.656173	0.053899	0.035034	0.000065	1.008407
0.682746	-0.119791	0.040038	0.000059	1.008185
0.76743	-0.158475	0.045043	0.00004	1.008174
0.554775	-0.147125	0.050048	0.000087	1.008086
0.289996	-0.229649	0.055053	0.000144	1.007845
0.447469	-0.272794	0.060058	0.00011	1.007863
0.301188	-0.361387	0.065062	0.000142	1.007672
0.368758	-0.476352	0.070067	0.000127	1.007549
0.130758	-0.452744	0.075072	0.000179	1.007465
0.004783	-0.582042	0.080077	0.000206	1.007229
-0.118368	-0.54063	0.085082	0.000233	1.007225
-0.151593	-0.731615	0.090086	0.00024	1.00695
-0.131626	-0.763188	0.095091	0.000236	1.006917
-0.405605	-0.876156	0.100096	0.000296	1.00663
-0.298594	-0.945208	0.105101	0.000272	1.006588
-0.377969	-1.130393	0.110106	0.000289	1.006298
-0.586849	-1.111651	0.11511	0.000335	1.006222
-0.888021	-1.175585	0.120115	0.000401	1.005988
-0.934132	-1.200445	0.12512	0.000411	1.005932
-0.811653	-1.393437	0.130125	0.000384	1.00573
-1.167209	-1.360184	0.13513	0.000461	1.005602
-1.01034	-1.564683	0.140134	0.000427	1.0054
-1.393592	-1.587207	0.145139	0.000511	1.005183
-1.32677	-1.685842	0.150144	0.000496	1.005081
-1.610445	-1.790506	0.155149	0.000558	1.0048
-1.847493	-1.72679	0.160154	0.00061	1.004771
-1.919135	-1.917109	0.165158	0.000625	1.004477
-1.871348	-1.953919	0.170163	0.000615	1.004451
-2.339771	-2.024263	0.175168	0.000717	1.004126
-2.126704	-2.11961	0.180173	0.00067	1.004101
-2.379694	-2.2383	0.185178	0.000726	1.003815
-2.427893	-2.288503	0.190182	0.000736	1.003724
-2.745335	-2.343274	0.195187	0.000805	1.003494
-2.659292	-2.456654	0.200192	0.000786	1.003382
-3.13789	-2.423317	0.205197	0.000891	1.003193
-2.960693	-2.55575	0.210202	0.000852	1.003099
-3.209466	-2.638183	0.215206	0.000906	1.002865
